Pallet: "pallet_template", Extrinsic: "do_something", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
10,28111,3593,0,4,1,2
10,28054,3649,0,4,1,2
10,28323,5648,0,4,1,2
10,30646,3779,0,4,1,2
10,28497,3696,0,4,1,2
10,27999,3759,0,4,1,2
10,28007,3755,0,4,1,2
10,28385,3819,0,4,1,2
10,28117,3597,0,4,1,2
10,28200,3705,0,4,1,2
10,28486,3738,0,4,1,2
10,37447,4698,0,4,1,2
10,28588,3686,0,4,1,2
10,29251,3715,0,4,1,2
10,28445,3783,0,4,1,2
10,28460,3844,0,4,1,2
12,28048,3921,0,4,1,2
12,28545,3712,0,4,1,2
12,28125,3645,0,4,1,2
12,35684,4571,0,4,1,2
12,28547,4027,0,4,1,2
12,28328,3693,0,4,1,2
12,28473,3811,0,4,1,2
12,28402,3711,0,4,1,2
12,28137,3688,0,4,1,2
12,33500,3983,0,4,1,2
12,28520,3687,0,4,1,2
12,170907,4659,0,4,1,2
12,29591,3882,0,4,1,2
12,28419,3828,0,4,1,2
12,28585,4027,0,4,1,2
12,27924,3848,0,4,1,2
12,28003,3765,0,4,1,2
12,28427,3881,0,4,1,2
12,28194,3710,0,4,1,2
12,94527,5738,0,4,1,2
14,28204,4079,0,4,1,2
14,28460,3726,0,4,1,2
14,28502,3779,0,4,1,2
14,28510,3683,0,4,1,2
14,28680,3638,0,4,1,2
14,28597,3640,0,4,1,2
14,59264,4665,0,4,1,2
14,28963,3909,0,4,1,2
14,28543,3703,0,4,1,2
14,38463,3868,0,4,1,2
14,28571,3803,0,4,1,2
14,28997,3754,0,4,1,2
14,28374,3685,0,4,1,2
14,28474,3661,0,4,1,2
14,28194,7225,0,4,1,2
14,31091,4025,0,4,1,2
14,28716,3928,0,4,1,2
14,28929,3838,0,4,1,2
14,28654,3681,0,4,1,2
14,28508,3666,0,4,1,2
16,28302,3790,0,4,1,2
16,28266,3754,0,4,1,2
16,28354,5611,0,4,1,2
16,30784,3977,0,4,1,2
16,28526,3825,0,4,1,2
16,28896,3685,0,4,1,2
16,28706,3693,0,4,1,2
16,28359,3702,0,4,1,2
16,28174,3728,0,4,1,2
16,28266,3763,0,4,1,2
16,28367,3660,0,4,1,2
16,71756,4711,0,4,1,2
16,29534,3820,0,4,1,2
16,28398,3671,0,4,1,2
16,28487,3724,0,4,1,2
16,28328,3699,0,4,1,2
16,28271,3533,0,4,1,2
16,28323,3786,0,4,1,2
16,28307,3718,0,4,1,2
16,28271,3653,0,4,1,2
18,28473,4776,0,4,1,2
18,28680,3807,0,4,1,2
18,28329,3781,0,4,1,2
18,28717,3623,0,4,1,2
18,28361,3644,0,4,1,2
18,28323,3672,0,4,1,2
18,27618,3459,0,4,1,2
18,27534,6952,0,4,1,2
18,30945,3800,0,4,1,2
18,28877,3721,0,4,1,2
18,27452,3639,0,4,1,2
18,26962,3617,0,4,1,2
18,27203,3621,0,4,1,2
18,27761,3633,0,4,1,2
18,27586,3646,0,4,1,2
18,27921,3611,0,4,1,2
18,74315,4615,0,4,1,2
18,29562,3865,0,4,1,2
18,28353,3640,0,4,1,2
18,27207,3571,0,4,1,2
20,27637,3699,0,4,1,2
20,28348,3590,0,4,1,2
20,28019,3721,0,4,1,2
20,28221,3671,0,4,1,2
20,31627,4847,0,4,1,2
20,28531,3797,0,4,1,2
20,44892,3561,0,4,1,2
20,27393,3630,0,4,1,2
20,27397,3544,0,4,1,2
20,27354,3542,0,4,1,2
20,27529,3543,0,4,1,2
20,27514,3516,0,4,1,2
20,63340,5125,0,4,1,2
20,30379,3822,0,4,1,2
20,28495,3623,0,4,1,2
20,27214,3582,0,4,1,2
20,27641,3601,0,4,1,2
20,27411,3525,0,4,1,2
20,27287,3649,0,4,1,2
20,27291,3784,0,4,1,2
22,36135,4846,0,4,1,2
22,29045,4036,0,4,1,2
22,28540,3581,0,4,1,2
22,25711,3313,0,4,1,2
22,45290,3440,0,4,1,2
22,27537,3496,0,4,1,2
22,27498,3518,0,4,1,2
22,27454,5422,0,4,1,2
22,29784,19277,0,4,1,2
22,41328,3158,0,4,1,2
22,24038,3324,0,4,1,2
22,24302,3158,0,4,1,2
22,24021,3172,0,4,1,2
22,23896,3125,0,4,1,2
22,23841,3152,0,4,1,2
22,24215,3169,0,4,1,2
22,23938,3155,0,4,1,2
22,34257,4297,0,4,1,2
22,25445,3513,0,4,1,2
22,41057,3202,0,4,1,2
24,23761,3355,0,4,1,2
24,24836,3355,0,4,1,2
24,24290,3238,0,4,1,2
24,24127,3164,0,4,1,2
24,23976,3186,0,4,1,2
24,24393,20888,0,4,1,2
24,29376,4441,0,4,1,2
24,27044,3672,0,4,1,2
24,41262,3257,0,4,1,2
24,24170,3190,0,4,1,2
24,24390,3074,0,4,1,2
24,24236,3128,0,4,1,2
24,24223,3102,0,4,1,2
24,24476,3204,0,4,1,2
24,24088,42361,0,4,1,2
24,32097,4615,0,4,1,2
24,28227,3697,0,4,1,2
24,33841,3843,0,4,1,2
24,45249,3619,0,4,1,2
24,26953,3459,0,4,1,2
26,112082,6370,0,4,1,2
26,32312,3981,0,4,1,2
26,28848,3737,0,4,1,2
26,27624,3612,0,4,1,2
26,27117,3458,0,4,1,2
26,26146,3325,0,4,1,2
26,25413,3455,0,4,1,2
26,25798,3404,0,4,1,2
26,33774,4296,0,4,1,2
26,25076,3241,0,4,1,2
26,24953,3234,0,4,1,2
26,24795,3226,0,4,1,2
26,24861,3240,0,4,1,2
26,24897,3257,0,4,1,2
26,24974,3203,0,4,1,2
26,24695,3168,0,4,1,2
26,24829,3250,0,4,1,2
26,25357,5488,0,4,1,2
26,30078,3692,0,4,1,2
26,27963,3577,0,4,1,2
28,24753,3249,0,4,1,2
28,41404,3161,0,4,1,2
28,24157,3073,0,4,1,2
28,24238,3249,0,4,1,2
28,23936,3216,0,4,1,2
28,104850,4633,0,4,1,2
28,29472,3741,0,4,1,2
28,28791,3652,0,4,1,2
28,28618,3321,0,4,1,2
28,25517,3348,0,4,1,2
28,46127,3026,0,4,1,2
28,22622,3072,0,4,1,2
28,22714,2964,0,4,1,2
28,50893,3967,0,4,1,2
28,24854,3457,0,4,1,2
28,24390,3108,0,4,1,2
28,22691,2922,0,4,1,2
28,22878,3001,0,4,1,2
28,23118,3185,0,4,1,2
28,22862,2955,0,4,1,2
30,22620,3063,0,4,1,2
30,22843,3002,0,4,1,2
30,22676,5372,0,4,1,2
30,27252,3417,0,4,1,2
30,24795,3337,0,4,1,2
30,24982,3220,0,4,1,2
30,22796,2976,0,4,1,2
30,22874,3010,0,4,1,2
30,22441,2981,0,4,1,2
30,22503,2972,0,4,1,2
30,22589,2883,0,4,1,2
30,22440,2948,0,4,1,2
30,52615,4142,0,4,1,2
30,25822,3469,0,4,1,2
30,25299,3100,0,4,1,2
30,23203,2884,0,4,1,2
30,22722,2877,0,4,1,2
30,22708,2923,0,4,1,2
30,22648,3039,0,4,1,2
30,22694,2970,0,4,1,2
32,22737,23435,0,4,1,2
32,31102,3757,0,4,1,2
32,28790,3585,0,4,1,2
32,28442,3049,0,4,1,2
32,22885,2982,0,4,1,2
32,23046,2858,0,4,1,2
32,22956,2884,0,4,1,2
32,22554,2955,0,4,1,2
32,22601,3079,0,4,1,2
32,23136,4444,0,4,1,2
32,26776,3341,0,4,1,2
32,24981,3206,0,4,1,2
32,25239,3348,0,4,1,2
32,24842,3336,0,4,1,2
32,24392,3171,0,4,1,2
32,24006,2986,0,4,1,2
32,22558,3005,0,4,1,2
32,22854,3051,0,4,1,2
32,22727,3037,0,4,1,2
32,32433,4009,0,4,1,2
34,38925,3214,0,4,1,2
34,22877,3035,0,4,1,2
34,22878,3117,0,4,1,2
34,23076,2961,0,4,1,2
34,22705,2955,0,4,1,2
34,22591,2984,0,4,1,2
34,22738,3017,0,4,1,2
34,22799,2979,0,4,1,2
34,47770,3816,0,4,1,2
34,23319,3244,0,4,1,2
34,23371,3075,0,4,1,2
34,22936,2940,0,4,1,2
34,23076,3063,0,4,1,2
34,23014,3025,0,4,1,2
34,22882,3080,0,4,1,2
34,22751,3011,0,4,1,2
34,22859,2991,0,4,1,2
34,23453,3064,0,4,1,2
34,22770,3066,0,4,1,2
34,93993,5642,0,4,1,2
36,28410,4010,0,4,1,2
36,28823,3718,0,4,1,2
36,44481,3413,0,4,1,2
36,22800,3053,0,4,1,2
36,22748,3138,0,4,1,2
36,40894,5162,0,4,1,2
36,30417,3825,0,4,1,2
36,28765,3809,0,4,1,2
36,26553,3454,0,4,1,2
36,22823,2996,0,4,1,2
36,22880,3071,0,4,1,2
36,22791,3065,0,4,1,2
36,22441,3134,0,4,1,2
36,22601,3023,0,4,1,2
36,25602,4013,0,4,1,2
36,23433,3360,0,4,1,2
36,23071,3075,0,4,1,2
36,22723,3033,0,4,1,2
36,22746,3111,0,4,1,2
36,22600,3040,0,4,1,2
38,22432,3159,0,4,1,2
38,22825,3061,0,4,1,2
38,22717,3007,0,4,1,2
38,22908,5385,0,4,1,2
38,27876,3693,0,4,1,2
38,41558,3287,0,4,1,2
38,23356,2969,0,4,1,2
38,22874,2904,0,4,1,2
38,22976,3028,0,4,1,2
38,22683,3034,0,4,1,2
38,22792,3014,0,4,1,2
38,22588,6362,0,4,1,2
38,30510,3798,0,4,1,2
38,28478,3746,0,4,1,2
38,61275,3292,0,4,1,2
38,25430,3368,0,4,1,2
38,25393,3348,0,4,1,2
38,25434,3271,0,4,1,2
38,25517,3319,0,4,1,2
38,45331,4259,0,4,1,2
40,39869,3069,0,4,1,2
40,42475,3263,0,4,1,2
40,24806,3177,0,4,1,2
40,25372,3290,0,4,1,2
40,36073,3611,0,4,1,2
40,93003,4736,0,4,1,2
40,29308,3889,0,4,1,2
40,28491,3714,0,4,1,2
40,42851,3479,0,4,1,2
40,26055,3272,0,4,1,2
40,24734,3266,0,4,1,2
40,24035,3196,0,4,1,2
40,39640,2912,0,4,1,2
40,80527,4301,0,4,1,2
40,25875,3259,0,4,1,2
40,25010,3291,0,4,1,2
40,24700,3317,0,4,1,2
40,24827,3346,0,4,1,2
40,25551,3433,0,4,1,2
40,40838,3163,0,4,1,2
42,23222,5693,0,4,1,2
42,29661,3953,0,4,1,2
42,28358,20272,0,4,1,2
42,24838,3077,0,4,1,2
42,23546,3131,0,4,1,2
42,23290,3089,0,4,1,2
42,23274,3045,0,4,1,2
42,23497,3059,0,4,1,2
42,23722,3081,0,4,1,2
42,58870,4419,0,4,1,2
42,26191,3274,0,4,1,2
42,24035,19747,0,4,1,2
42,22656,3086,0,4,1,2
42,22754,2877,0,4,1,2
42,22503,3018,0,4,1,2
42,22775,3052,0,4,1,2
42,22876,2959,0,4,1,2
42,23075,2891,0,4,1,2
42,22662,3039,0,4,1,2
42,22421,5546,0,4,1,2
44,24256,3525,0,4,1,2
44,24514,3029,0,4,1,2
44,22571,3009,0,4,1,2
44,22903,3025,0,4,1,2
44,22617,3066,0,4,1,2
44,22914,3043,0,4,1,2
44,22732,3031,0,4,1,2
44,22652,2915,0,4,1,2
44,102600,4121,0,4,1,2
44,26396,3427,0,4,1,2
44,41233,3272,0,4,1,2
44,22801,3072,0,4,1,2
44,22819,2930,0,4,1,2
44,22652,2996,0,4,1,2
44,22927,2998,0,4,1,2
44,22676,3111,0,4,1,2
44,22672,2967,0,4,1,2
44,22844,3032,0,4,1,2
44,31165,4674,0,4,1,2
44,28419,3851,0,4,1,2
46,22919,3176,0,4,1,2
46,22877,2918,0,4,1,2
46,22682,3016,0,4,1,2
46,22647,2998,0,4,1,2
46,22585,2992,0,4,1,2
46,22481,3091,0,4,1,2
46,66989,3996,0,4,1,2
46,24709,3351,0,4,1,2
46,24332,2932,0,4,1,2
46,22773,3037,0,4,1,2
46,22889,3013,0,4,1,2
46,23094,2965,0,4,1,2
46,22972,3094,0,4,1,2
46,22699,3037,0,4,1,2
46,23067,2909,0,4,1,2
46,23463,2963,0,4,1,2
46,22615,4880,0,4,1,2
46,26533,3263,0,4,1,2
46,24714,3183,0,4,1,2
46,24480,3067,0,4,1,2
48,22307,3101,0,4,1,2
48,23010,3137,0,4,1,2
48,22733,3006,0,4,1,2
48,22726,2932,0,4,1,2
48,22693,2997,0,4,1,2
48,22948,5852,0,4,1,2
48,26757,3122,0,4,1,2
48,24624,3025,0,4,1,2
48,39711,2970,0,4,1,2
48,22849,3029,0,4,1,2
48,22778,2966,0,4,1,2
48,22845,3003,0,4,1,2
48,22610,2839,0,4,1,2
48,22921,3081,0,4,1,2
48,23195,3075,0,4,1,2
48,22889,2989,0,4,1,2
48,31922,4525,0,4,1,2
48,28865,3791,0,4,1,2
48,43990,3160,0,4,1,2
48,24296,3127,0,4,1,2
50,22452,3042,0,4,1,2
50,23078,2965,0,4,1,2
50,22269,2963,0,4,1,2
50,22479,2885,0,4,1,2
50,31553,21977,0,4,1,2
50,28698,3558,0,4,1,2
50,28174,3672,0,4,1,2
50,28177,3623,0,4,1,2
50,27968,3574,0,4,1,2
50,28120,3607,0,4,1,2
50,27113,3456,0,4,1,2
50,201936,4932,0,4,1,2
50,29221,3812,0,4,1,2
50,30068,3407,0,4,1,2
50,42912,3143,0,4,1,2
50,22932,2889,0,4,1,2
50,22845,3047,0,4,1,2
50,22852,3068,0,4,1,2
50,22727,8046,0,4,1,2
50,30608,3806,0,4,1,2
52,27903,3295,0,4,1,2
52,23004,3133,0,4,1,2
52,22481,2942,0,4,1,2
52,22759,2998,0,4,1,2
52,22516,2943,0,4,1,2
52,22422,3016,0,4,1,2
52,22370,19088,0,4,1,2
52,24934,3787,0,4,1,2
52,22763,3140,0,4,1,2
52,22801,3025,0,4,1,2
52,22887,3047,0,4,1,2
52,22498,3055,0,4,1,2
52,22783,3060,0,4,1,2
52,22555,2936,0,4,1,2
52,22307,3042,0,4,1,2
52,22838,2988,0,4,1,2
52,22645,2975,0,4,1,2
52,97542,4665,0,4,1,2
52,28772,3600,0,4,1,2
52,43048,19924,0,4,1,2
54,22374,3037,0,4,1,2
54,22634,3033,0,4,1,2
54,22469,3102,0,4,1,2
54,23028,3020,0,4,1,2
54,22786,2952,0,4,1,2
54,22577,4931,0,4,1,2
54,26711,3334,0,4,1,2
54,24356,3017,0,4,1,2
54,23002,2952,0,4,1,2
54,23203,3057,0,4,1,2
54,23009,3074,0,4,1,2
54,23053,3021,0,4,1,2
54,22419,2996,0,4,1,2
54,22557,2981,0,4,1,2
54,22536,3012,0,4,1,2
54,60290,4782,0,4,1,2
54,29956,3788,0,4,1,2
54,28218,3578,0,4,1,2
54,28676,19942,0,4,1,2
54,44758,20238,0,4,1,2
56,26236,3495,0,4,1,2
56,26085,42478,0,4,1,2
56,46178,3568,0,4,1,2
56,25098,3230,0,4,1,2
56,23844,3125,0,4,1,2
56,24164,2935,0,4,1,2
56,22873,2924,0,4,1,2
56,22694,2954,0,4,1,2
56,23089,2909,0,4,1,2
56,22938,2893,0,4,1,2
56,23003,2992,0,4,1,2
56,74533,4491,0,4,1,2
56,27412,3330,0,4,1,2
56,25200,3139,0,4,1,2
56,24333,2970,0,4,1,2
56,22530,3076,0,4,1,2
56,23231,2855,0,4,1,2
56,22920,2856,0,4,1,2
56,23042,2882,0,4,1,2
56,22804,2925,0,4,1,2
58,130239,4733,0,4,1,2
58,29538,3744,0,4,1,2
58,47549,3096,0,4,1,2
58,23058,3094,0,4,1,2
58,22889,3096,0,4,1,2
58,22806,3046,0,4,1,2
58,22456,3111,0,4,1,2
58,22711,2996,0,4,1,2
58,22720,3051,0,4,1,2
58,27018,3946,0,4,1,2
58,24170,3242,0,4,1,2
58,22930,2987,0,4,1,2
58,22874,2984,0,4,1,2
58,22693,3033,0,4,1,2
58,22853,2871,0,4,1,2
58,23098,2949,0,4,1,2
58,23045,2916,0,4,1,2
58,22629,2995,0,4,1,2
58,22670,3041,0,4,1,2
58,34099,4022,0,4,1,2
60,24035,3503,0,4,1,2
60,22751,3117,0,4,1,2
60,22840,2973,0,4,1,2
60,22777,3006,0,4,1,2
60,22810,3011,0,4,1,2
60,22485,2956,0,4,1,2
60,22694,2969,0,4,1,2
60,22522,2943,0,4,1,2
60,22594,22595,0,4,1,2
60,30681,3711,0,4,1,2
60,28561,3681,0,4,1,2
60,38871,3075,0,4,1,2
60,23325,2985,0,4,1,2
60,23659,3181,0,4,1,2
60,22993,3019,0,4,1,2
60,22931,3025,0,4,1,2
60,22922,2972,0,4,1,2
60,110538,4138,0,4,1,2
60,25585,3361,0,4,1,2
60,23901,2955,0,4,1,2
62,22366,3087,0,4,1,2
62,22851,3045,0,4,1,2
62,22770,2961,0,4,1,2
62,23090,2895,0,4,1,2
62,23157,2994,0,4,1,2
62,22641,42456,0,4,1,2
62,28033,3304,0,4,1,2
62,25662,3428,0,4,1,2
62,56396,2905,0,4,1,2
62,22945,2953,0,4,1,2
62,23062,2884,0,4,1,2
62,22823,2947,0,4,1,2
62,22775,3013,0,4,1,2
62,22930,2919,0,4,1,2
62,22744,2966,0,4,1,2
62,84375,4321,0,4,1,2
62,28131,3581,0,4,1,2
62,27454,20999,0,4,1,2
62,22759,2997,0,4,1,2
62,22924,3072,0,4,1,2
64,22470,3086,0,4,1,2
64,22634,2949,0,4,1,2
64,23114,3021,0,4,1,2
64,23118,7556,0,4,1,2
64,25486,3147,0,4,1,2
64,22978,2928,0,4,1,2
64,22978,2965,0,4,1,2
64,22628,2936,0,4,1,2
64,22802,2934,0,4,1,2
64,22638,3040,0,4,1,2
64,22956,2977,0,4,1,2
64,40717,19627,0,4,1,2
64,80627,5419,0,4,1,2
64,31626,3878,0,4,1,2
64,28679,3261,0,4,1,2
64,22825,3083,0,4,1,2
64,22427,3017,0,4,1,2
64,22749,3013,0,4,1,2
64,22761,3079,0,4,1,2
64,22776,2990,0,4,1,2
66,103006,4700,0,4,1,2
66,29153,3731,0,4,1,2
66,28351,3726,0,4,1,2
66,28515,3662,0,4,1,2
66,28181,13706,0,4,1,2
66,28321,3709,0,4,1,2
66,28302,3667,0,4,1,2
66,78497,4491,0,4,1,2
66,29157,3637,0,4,1,2
66,28361,3631,0,4,1,2
66,28451,3657,0,4,1,2
66,28301,3493,0,4,1,2
66,25708,3346,0,4,1,2
66,41858,3161,0,4,1,2
66,25485,3275,0,4,1,2
66,27919,4190,0,4,1,2
66,42562,3480,0,4,1,2
66,46165,3491,0,4,1,2
66,28474,3433,0,4,1,2
66,27221,3428,0,4,1,2
68,42181,5391,0,4,1,2
68,29199,3759,0,4,1,2
68,43741,3655,0,4,1,2
68,27344,3788,0,4,1,2
68,46395,3510,0,4,1,2
68,45802,3708,0,4,1,2
68,57205,4575,0,4,1,2
68,29092,3815,0,4,1,2
68,28631,3679,0,4,1,2
68,42912,3526,0,4,1,2
68,27284,3532,0,4,1,2
68,46003,3633,0,4,1,2
68,27704,3550,0,4,1,2
68,109862,4169,0,4,1,2
68,47343,3385,0,4,1,2
68,43282,3482,0,4,1,2
68,26335,3404,0,4,1,2
68,27142,3587,0,4,1,2
68,42465,3494,0,4,1,2
68,102414,4701,0,4,1,2
70,28036,3868,0,4,1,2
70,28077,3688,0,4,1,2
70,65467,3297,0,4,1,2
70,24720,3213,0,4,1,2
70,42562,3361,0,4,1,2
70,25293,3289,0,4,1,2
70,79064,4610,0,4,1,2
70,42384,3444,0,4,1,2
70,41291,3303,0,4,1,2
70,24958,3363,0,4,1,2
70,25823,3320,0,4,1,2
70,25672,3459,0,4,1,2
70,58472,3227,0,4,1,2
70,26729,3359,0,4,1,2
70,31069,4633,0,4,1,2
70,28718,3717,0,4,1,2
70,28691,3440,0,4,1,2
70,42159,3461,0,4,1,2
70,43336,3462,0,4,1,2
70,27469,3471,0,4,1,2
72,55654,4422,0,4,1,2
72,26673,3869,0,4,1,2
72,44741,3587,0,4,1,2
72,27620,3531,0,4,1,2
72,42014,3337,0,4,1,2
72,25290,19895,0,4,1,2
72,25479,3425,0,4,1,2
72,34696,4351,0,4,1,2
72,43080,3358,0,4,1,2
72,25724,20783,0,4,1,2
72,28148,3644,0,4,1,2
72,42949,3616,0,4,1,2
72,45113,3384,0,4,1,2
72,26661,3417,0,4,1,2
72,26239,5308,0,4,1,2
72,29253,3632,0,4,1,2
72,26604,3456,0,4,1,2
72,26502,3552,0,4,1,2
72,26483,3413,0,4,1,2
72,26313,3507,0,4,1,2
74,25214,3438,0,4,1,2
74,26337,3563,0,4,1,2
74,26036,5433,0,4,1,2
74,31006,3766,0,4,1,2
74,28430,3602,0,4,1,2
74,28230,3493,0,4,1,2
74,25900,3418,0,4,1,2
74,25551,3316,0,4,1,2
74,25438,3439,0,4,1,2
74,26604,3446,0,4,1,2
74,26352,3451,0,4,1,2
74,159866,4420,0,4,1,2
74,27654,3651,0,4,1,2
74,26515,3486,0,4,1,2
74,26724,3367,0,4,1,2
74,26530,3471,0,4,1,2
74,26780,3535,0,4,1,2
74,26414,3416,0,4,1,2
74,26525,3394,0,4,1,2
74,43509,4843,0,4,1,2
76,25869,3530,0,4,1,2
76,26020,3398,0,4,1,2
76,25560,3438,0,4,1,2
76,25760,3248,0,4,1,2
76,25496,3323,0,4,1,2
76,25408,3304,0,4,1,2
76,25512,3358,0,4,1,2
76,25781,3329,0,4,1,2
76,34675,4196,0,4,1,2
76,25672,3494,0,4,1,2
76,25640,3463,0,4,1,2
76,25963,3296,0,4,1,2
76,25569,3223,0,4,1,2
76,25608,3546,0,4,1,2
76,28400,3621,0,4,1,2
76,43973,3528,0,4,1,2
76,143478,4658,0,4,1,2
76,29416,3840,0,4,1,2
76,28558,3731,0,4,1,2
76,28493,22822,0,4,1,2
78,25709,3355,0,4,1,2
78,25548,3311,0,4,1,2
78,25842,3327,0,4,1,2
78,52572,4199,0,4,1,2
78,26217,3445,0,4,1,2
78,25552,3420,0,4,1,2
78,25540,3362,0,4,1,2
78,25764,3178,0,4,1,2
78,25733,3194,0,4,1,2
78,25474,3315,0,4,1,2
78,25552,3325,0,4,1,2
78,25712,3306,0,4,1,2
78,25510,3396,0,4,1,2
78,50571,23164,0,4,1,2
78,30872,3712,0,4,1,2
78,28572,3541,0,4,1,2
78,28487,3714,0,4,1,2
78,28532,3651,0,4,1,2
78,24938,3235,0,4,1,2
78,25043,3316,0,4,1,2
80,28635,4718,0,4,1,2
80,25833,3515,0,4,1,2
80,25879,3417,0,4,1,2
80,25609,3312,0,4,1,2
80,25950,3323,0,4,1,2
80,26597,3573,0,4,1,2
80,25675,3388,0,4,1,2
80,25720,3393,0,4,1,2
80,25831,3395,0,4,1,2
80,33000,4540,0,4,1,2
80,28603,3804,0,4,1,2
80,28086,3640,0,4,1,2
80,46435,3674,0,4,1,2
80,26818,3422,0,4,1,2
80,26367,3406,0,4,1,2
80,45791,3606,0,4,1,2
80,53186,4425,0,4,1,2
80,45969,3711,0,4,1,2
80,42703,3391,0,4,1,2
80,27042,3673,0,4,1,2
82,43909,3528,0,4,1,2
82,25485,3279,0,4,1,2
82,25340,5085,0,4,1,2
82,27776,3442,0,4,1,2
82,25566,3359,0,4,1,2
82,25746,3312,0,4,1,2
82,25557,3347,0,4,1,2
82,25487,3377,0,4,1,2
82,25279,3338,0,4,1,2
82,25384,3363,0,4,1,2
82,25370,3410,0,4,1,2
82,25474,3432,0,4,1,2
82,86021,4357,0,4,1,2
82,27370,3705,0,4,1,2
82,42119,3437,0,4,1,2
82,25977,3265,0,4,1,2
82,25958,3296,0,4,1,2
82,24918,3122,0,4,1,2
82,24806,3220,0,4,1,2
82,25121,3210,0,4,1,2
84,47224,4568,0,4,1,2
84,28672,3706,0,4,1,2
84,28417,3751,0,4,1,2
84,24853,3196,0,4,1,2
84,24915,3225,0,4,1,2
84,25069,3186,0,4,1,2
84,24760,3210,0,4,1,2
84,25138,3121,0,4,1,2
84,25021,20517,0,4,1,2
84,28192,4150,0,4,1,2
84,25776,3237,0,4,1,2
84,25913,3373,0,4,1,2
84,25683,3341,0,4,1,2
84,25513,3267,0,4,1,2
84,25668,3237,0,4,1,2
84,25674,3247,0,4,1,2
84,25448,3327,0,4,1,2
84,25795,3226,0,4,1,2
84,44063,4588,0,4,1,2
84,27627,3508,0,4,1,2
86,25209,3329,0,4,1,2
86,25062,3357,0,4,1,2
86,24794,3223,0,4,1,2
86,25037,3261,0,4,1,2
86,24998,3211,0,4,1,2
